date,nav_historical,nav_api,difference
2018-05-25,59.255,59.255,0.0
2018-05-28,59.7938,59.7938,0.0
2018-05-29,59.4956,59.4956,0.0
2018-05-30,59.6359,59.6359,0.0
2018-05-31,58.995,58.995,0.0
2018-06-01,57.8765,57.8765,0.0
2018-06-04,56.5065,56.5065,0.0
2018-06-05,55.1442,55.1442,0.0
2018-06-06,55.91,55.91,0.0
2018-06-07,57.0031,57.0031,0.0
2018-06-08,57.0448,57.0448,0.0
2018-06-11,57.3946,57.3946,0.0
2018-06-12,57.4404,57.4404,0.0
2018-06-13,57.2522,57.2522,0.0
2018-06-14,57.4387,57.4387,0.0
2018-06-15,57.0672,57.0672,0.0
2018-06-18,56.868,56.868,0.0
2018-06-19,56.0586,56.0586,0.0
2018-06-20,55.9644,55.9644,0.0
2018-06-21,55.5814,55.5814,0.0
2018-06-22,55.5548,55.5548,0.0
2018-06-25,55.0055,55.0055,0.0
2018-06-26,54.6316,54.6316,0.0
2018-06-27,53.7015,53.7015,0.0
2018-06-28,53.2372,53.2372,0.0
2018-06-29,54.0638,54.0638,0.0
2018-07-02,53.9029,53.9029,0.0
2018-07-03,53.973,53.973,0.0
2018-07-04,54.162,54.162,0.0
2018-07-05,53.9747,53.9747,0.0
2018-07-06,54.1996,54.1996,0.0
2018-07-09,54.8668,54.8668,0.0
2018-07-10,54.9768,54.9768,0.0
2018-07-11,55.0134,55.0134,0.0
2018-07-12,54.9257,54.9257,0.0
2018-07-13,54.7351,54.7351,0.0
2018-07-16,53.8182,53.8182,0.0
2018-07-17,53.9208,53.9208,0.0
2018-07-18,53.3584,53.3584,0.0
2018-07-19,53.0648,53.0648,0.0
2018-07-20,53.1279,53.1279,0.0
2018-07-23,53.4957,53.4957,0.0
2018-07-24,54.2935,54.2935,0.0
2018-07-25,54.3981,54.3981,0.0
2018-07-26,54.6171,54.6171,0.0
2018-07-27,55.8532,55.8532,0.0
2018-07-30,56.2737,56.2737,0.0
2018-07-31,56.6181,56.6181,0.0
2018-08-01,57.0216,57.0216,0.0
2018-08-02,57.2162,57.2162,0.0
